Date,Mean/Average,Most Bearish Response,Quart 1 (25% at/below),Quart 2 (median),Quart 3 (25% at/above),Most Bullish Response,Standard Deviation,NAAIM Number,S&P 500
3/26/14,91.12,30,71.25,95.5,100,175,30.02,91.12,1852.56
3/19/14,89.84,0,70,97,100,200,38.47,89.84,1860.77
3/12/14,85.2,-50,71.5,94.78,100,160,38.59,85.2,1868.2
3/5/14,89.06,15,76.25,97.8,100,162,28.18,89.06,1873.81
2/26/14,91.62,40,77.5,90,100,200,32.17,91.62,1845.16
2/19/14,75.95,-125,60,80,100,200,53.89,75.95,1840.76
2/12/14,73.26,-125,60,80,100,150,50.46,73.26,1819.26
2/5/14,50.97,-125,31.25,55,80,135,48.9,50.97,1751.64
1/29/14,70.94,-125,65,82,100,120,48.68,70.94,1774.2
1/22/14,95.13,10,86,100,100,170,33.28,95.13,1844.86
1/21/14,76.23,-200,64.5,81,100,200,66.11,76.23,2032.12
1/15/14,96.83,15,95,100,100,170,33.54,96.83,1848.38
1/8/14,92.27,0,91,100,100,170,36.87,92.27,1837.49
1/2/14,95.03,25,90.5,100,100,165,29.44,95.03,1831.98
12/26/13,98.94,50,95,100,100,165,25.49,98.94,1842.02
12/18/13,94.35,0,89.75,100,100,165,29.56,94.35,1810.65
12/11/13,100.69,0,86.5,100,118.98,165,35.63,100.69,1782.22
12/4/13,94.75,0,87.25,100,100,163,30.23,94.75,1792.81
11/27/13,101.45,50,95,100,106.56,163,26.85,101.45,1807.23
11/20/13,87.43,-100,73.25,100,100,150,47.32,87.43,1781.37
11/13/13,80.67,-100,72.5,98,100,150,53.72,80.67,1782
11/6/13,84.81,0,62,100,100,150,29.76,84.81,1762.97
10/30/13,94.59,-5,87.5,100,100,150,29.66,94.59,1763.31
10/23/13,79.37,-100,64,95,100,150,46.05,79.37,1746.38
10/16/13,82.05,5,56.25,100,100,130,30.4,82.05,1721.54
10/9/13,54.26,-125,45,50,97.5,150,64.65,54.26,1655.45
10/2/13,73.13,-150,52.5,92.5,100,150,55.27,73.13,1693.87
9/25/13,80.47,-100,55,100,100,150,48.28,80.47,1692.77
9/18/13,62.48,0,42.5,70,95,100,32.05,62.48,1725.52
9/11/13,66.75,0,43.75,67.5,96.25,125,31.1,66.75,1689.13
9/4/13,42.26,-100,30,50,69.5,100,44.32,42.26,1653.08
8/28/13,46.92,-100,40,50,77.25,125,45.74,46.92,1634.96
8/21/13,34.76,-100,31,50,60,125,56.53,34.76,1642.8
8/14/13,69.85,-70,50,70.5,88.75,200,42.7,69.85,1685.39
8/7/13,75.7,20,50,75,97.5,150,30.24,75.7,1697.37
7/31/13,74.05,-125,64.5,95,100,150,54.48,74.05,1685.73
7/24/13,87.5,15,75,95,100,200,33.44,87.5,1692.39
7/17/13,61.73,-125,50,78.5,100,108,53.11,61.73,1680.91
7/10/13,47.08,-125,23.75,47.5,90,200,55.88,47.08,1652.62
7/3/13,39.91,-50,20,40,59,100,35.22,39.91,1615.41
6/26/13,34.21,-125,19.75,37.5,52.25,150,49.3,34.21,1603.26
6/19/13,51.53,-125,30,50,90,130,49.42,51.53,1628.93
6/12/13,61.9,-125,41,60,98.69,200,54.21,61.9,1612.52
6/5/13,51.58,-125,30,50,90,200,58.97,51.58,1608.9
5/29/13,77.19,-125,62.5,95,100,155,58.2,77.19,1648.36
5/22/13,82.02,-125,71,92.5,100,166,47.22,82.02,1655.35
5/15/13,84.23,-2,65,95,100,166,35.52,84.23,1658.78
5/8/13,79.11,-125,71.5,95,100,165,54.93,79.11,1625.96
5/1/13,80.61,0,55,75,100,165,37.94,80.61,1597.57
4/24/13,69.9,-125,50,70,100,200,58.8,69.9,1578.79
4/17/13,69.63,-125,50,80,100,170,53.35,69.63,1574.57
4/10/13,77.25,-125,56.25,84.5,100,170,52.12,77.25,1587.73
4/3/13,72.71,-125,56.25,87.5,100,170,61.57,72.71,1553.69
3/27/13,80.06,0,55,87,100,170,40.66,80.06,1562.85
3/20/13,79.77,0,68,80,100,150,32.61,79.77,1558.71
3/13/13,85.64,0,68,95,100,170,42.82,85.64,1554.52
3/6/13,90.15,-50,71,97,100,170,40.09,90.15,1541.46
2/27/13,82.77,-35,55,89.5,107.38,160,48.4,82.77,1515.99
2/20/13,91.07,-10,70.25,99,102.25,160,38.08,91.07,1530.94
2/13/13,89.85,-2,80,99,100,162,38.39,89.85,1519.43
2/6/13,94.06,-2,75,100,100,190,40.08,94.06,1512.12
1/30/13,104.25,60,85.25,97.5,110,180,32.24,104.25,1507.84
1/23/13,86.38,-125,66,95,100,190,53.95,86.38,1494.81
1/16/13,84.67,-200,67.75,97.5,100,200,60.85,84.67,1472.63
1/9/13,83.27,-100,65,90,100,150,43.59,83.27,1461.02
1/2/13,75.98,-125,59.25,77.5,100,200,53.25,75.98,1462.42
12/26/12,88.1,0,67,85,100,200,44.51,88.1,1426.660034
12/19/12,80.19,-100,62.5,81.5,100,200,49.81,80.19,1430.150024
12/12/12,82.91,0,51.5,80,100,200,40.87,82.91,1413.579956
12/5/12,75.71,-125,51,85,100,200,53.95,75.71,1418.069946
11/28/12,55.19,-125,20,70,100,150,58.26,55.19,1416.180054
11/21/12,64.2,-25,40,50,100,170,42.98,64.2,1409.150024
11/14/12,67.22,-125,23.75,77.5,99.65,170,64.79,67.22,1359.880005
11/7/12,57.95,-125,40,65,90,170,57.54,57.95,1379.849976
10/31/12,75.11,-125,50,85,100,200,59.22,75.11,1414.199951
10/24/12,64.39,-125,50,70,95,170,59.78,64.39,1411.939941
10/17/12,65.38,-160,48.75,85.5,100,170,71.78,65.38,1433.189941
10/10/12,64.59,-125,30,80,100,175,66.48,64.59,1428.589966
10/3/12,76.03,-125,50.75,95,100,200,57.27,76.03,1460.930054
9/26/12,69.75,-125,48,80,100,175,56.02,69.75,1440.670044
9/19/12,81.19,-125,70,95,102.5,175,52.94,81.19,1460.150024
9/12/12,72.99,-125,60,76,100,170,50.12,72.99,1465.77002
9/5/12,77.43,-125,55,80,100,200,50.15,77.43,1437.920044
8/29/12,82.89,-10,60,80,100,200,40.67,82.89,1406.579956
8/22/12,69.21,-125,40,80,100,200,59.57,69.21,1411.130005
8/15/12,76.26,-75,53.75,85,100,175,42.6,76.26,1418.160034
8/8/12,70.75,-30,45,80,97,163,39.42,70.75,1405.869995
8/1/12,67.8,-125,40,70,95,200,53.94,67.8,1390.98999
7/25/12,74.39,0,33,65,100,200,50.01,74.39,1385.969971
7/18/12,67.74,-125,47.5,70,92.5,200,52.76,67.74,1362.660034
7/11/12,61.85,-125,37.1,60,89.75,200,53.62,61.85,1356.780029
7/5/12,63.28,-125,46,60,83.5,180,49.21,63.28,1354.680054
6/27/12,44.84,-125,30,50,64.5,200,48.14,44.84,1362.160034
6/20/12,52.33,-125,32.5,53,70,200,45.66,52.33,1335.02002
6/13/12,43.63,-10,22.5,40,62.16,125,29.53,43.63,1342.839966
6/6/12,49.32,0,25,50,60,140,34.96,49.32,1325.660034
5/30/12,28.65,-125,0,36.5,57.1,110,46.73,28.65,1278.040039
5/23/12,31.78,-125,13,40,50,135,45.5,31.78,1317.819946
5/16/12,58.71,0,36.5,50,87,200,41.36,58.71,1295.219971
5/9/12,64.21,-125,40,50,94.75,200,54.14,64.21,1353.390015
5/2/12,63.68,-125,43.75,67.5,95,175,50.54,63.68,1369.099976
4/25/12,48.31,-125,25,50,82.5,150,56.77,48.31,1403.359985
4/18/12,46.14,-125,33.75,50,77.5,175,56.9,46.14,1378.530029
4/11/12,51.93,-125,31.25,50,92.25,150,53.21,51.93,1370.26001
4/4/12,69.82,-50,50,70,100,150,38.55,69.82,1398.079956
3/28/12,71.97,-29,50,75,100,150,40.6,71.97,1408.469971
3/21/12,68.64,-125,55,75,99,155,47.06,68.64,1397.109985
3/14/12,71.79,-125,50,80,100,175,47.8,71.79,1404.170044
3/7/12,57.37,-200,40,53.5,96,150,56.66,57.37,1370.869995
2/29/12,73.78,-50,60,77,100,155,36.76,73.78,1369.630005
2/22/12,76.28,-60,50,87.5,100,150,37.17,76.28,1365.73999
2/15/12,73,-35,50,75,100,175,36.23,73,1361.22998
2/8/12,72.66,-40,50,72,100,150,36.82,72.66,1342.640015
2/1/12,67.52,-75,50,75,100,125,39.38,67.52,1344.900024
1/25/12,56.33,-125,40,65,100,125,53.51,56.33,1316.329956
1/18/12,52.5,-100,30.75,60,90.5,125,49.05,52.5,1315.380005
1/11/12,49.34,-125,35,50,84,100,47.07,49.34,1289.089966
1/4/12,43.14,-125,28.75,47.5,60.5,140,41.4,43.14,1277.810059
12/28/11,43.56,-50,30,45,54,100,28.56,43.56,1257.599976
12/21/11,36.62,-125,23.66,42.5,50,110,39.52,36.62,1265.329956
12/14/11,35.69,-125,19.5,38.5,50,175,48.2,35.69,1219.660034
12/7/11,34.8,-125,11.25,40,58.75,100,43.66,34.8,1255.189941
11/30/11,30.02,-125,0,34,50,130,42.22,30.02,1244.280029
11/23/11,34.77,-125,8.34,34.5,50,150,45.87,34.77,1158.670044
11/16/11,54,-125,30,60,85,150,52,54,1215.650024
11/9/11,44.05,-125,8,52,80,130,55.69,44.05,1263.849976
11/2/11,45.43,-125,18.75,50,85,150,55.32,45.43,1253.22998
10/26/11,38.12,-125,25,50,66.5,100,45.23,38.12,1285.089966
10/19/11,21.32,-125,0,23.5,47.75,100,40.92,21.32,1238.25
10/12/11,0,-200,-3.75,12.5,34.25,70,58.88,0,1224.579956
10/5/11,-3.56,-200,0,0,16,130,54.52,-3.56,1155.459961
9/28/11,4.18,-125,0,0,26.25,90,38.97,4.18,1131.420044
9/21/11,27.9,-125,0,11,50,190,51,27.9,1136.430054
9/14/11,26.78,-125,0,10,50,200,50.57,26.78,1216.01001
9/7/11,25.31,-125,0,15,50,120,46.85,25.31,1154.22998
8/31/11,22.19,-140,0,15,50,100,44.78,22.19,1173.969971
8/24/11,20.17,-125,0,15,45,100,40.4,20.17,1176.800049
8/17/11,28.78,-125,0,20,50,200,47.52,28.78,1123.530029
8/10/11,21.4,-125,0,14.5,50,100,42.05,21.4,1178.810059
8/3/11,32.87,-125,0,42,60,150,50.44,32.87,1199.380005
7/27/11,62.7,-55,40,50,89.5,200,42.65,62.7,1292.280029
7/20/11,66.31,-125,47.5,66,95.5,200,49.79,66.31,1345.02002
7/13/11,53.93,-125,40,55,95,150,53.48,53.93,1316.140015
7/6/11,50.39,-170,32,55,84,150,57.9,50.39,1343.800049
6/29/11,31.98,-140,0,35,60,150,54,31.98,1339.670044
6/22/11,29.28,-125,0,28.5,54.75,117,48.13,29.28,1268.449951
6/15/11,25.95,-125,0,25,50,155,54.88,25.95,1271.5
6/8/11,42.79,-125,27.25,50,72.5,167,58.56,42.79,1270.97998
6/1/11,52.86,-100,40,60,77.5,170,47.06,52.86,1300.160034
5/25/11,58.93,-125,45,60,85,200,56.87,58.93,1331.099976
5/18/11,68.41,-100,45,80,100,200,57.02,68.41,1333.27002
5/11/11,74.66,-125,50,85,100,200,51.78,74.66,1337.77002
5/4/11,76.13,-50,55,75,100,175,47.87,76.13,1340.199951
4/27/11,81.9,0,50,82.5,100,200,43.74,81.9,1363.609985
4/20/11,82.95,0,62.25,82.5,100,200,41.72,82.95,1337.380005
4/13/11,80.63,0,60,78,100,200,38.73,80.63,1319.680054
4/6/11,80.79,0,59,80,100,200,39.17,80.79,1328.170044
3/30/11,70.92,0,50,72,95,160,33.44,70.92,1332.410034
3/23/11,50.83,-100,18.75,50,83.75,160,54.67,50.83,1313.800049
3/16/11,41,-200,21.25,50,80,160,64.32,41,1279.209961
3/9/11,75.34,-10,58.5,77.5,95,165,34.89,75.34,1304.280029
3/2/11,70.92,-100,50,75,100,160,43.94,70.92,1321.150024
2/23/11,68.13,-100,48.75,79,100,160,53.94,68.13,1319.880005
2/16/11,83.73,-50,70,97,100,160,39.53,83.73,1343.01001
2/9/11,86.28,0,70,96.5,100,165,36.24,86.28,1329.150024
2/2/11,82.13,0,62.5,91.5,100,160,37.3,82.13,1310.869995
1/26/11,76.18,-50,56.25,95,100,150,44.56,76.18,1276.339966
1/19/11,70.83,-100,50,85,100,150,48.2,70.83,1283.349976
1/12/11,76.88,0,50,85.5,100,150,34.52,76.88,1293.23999
1/5/11,78.51,-50,55,90,100,140,36,78.51,1271.5
12/29/10,80.21,20,55,85,100,150,25.87,80.21,1257.640015
12/22/10,81.83,-40,70,92.5,100,130,30.94,81.83,1256.77002
12/15/10,74.74,-125,72.5,90,100,150,48.88,74.74,1243.910034
12/8/10,63.11,-125,50,82.5,100,145,56.85,63.11,1240.400024
12/1/10,62.47,-200,50,81.5,100,200,71.4,62.47,1224.709961
11/24/10,66.67,-200,50,85,100,200,68.73,66.67,1189.400024
11/17/10,66.59,-125,50,80,100,200,64.71,66.59,1199.72998
11/11/10,71.46,-200,65,97,100,200,73.63,71.46,1199.209961
11/3/10,69.47,-125,42.5,77.5,100,200,57.6,69.47,1225.849976
10/27/10,57.66,-200,50,75,96.25,175,74.05,57.66,1183.26001
10/20/10,72.17,-125,50,80,100,175,54.04,72.17,1183.079956
10/13/10,67.14,-125,50,80,100,170,55.01,67.14,1176.189941
10/6/10,76.42,-125,50,77.5,100,200,59.69,76.42,1165.150024
9/29/10,68.26,-125,42.5,66,95,200,65.97,68.26,1146.23999
9/22/10,55.29,-150,36.25,55,87.25,200,74.43,55.29,1148.670044
9/15/10,42.3,-200,22,50,85,155,73.39,42.3,1125.589966
9/8/10,48.26,-200,24,50,78.75,180,72.42,48.26,1109.550049
9/1/10,52.78,-125,20,50,80,200,62.56,52.78,1104.51001
8/25/10,43.94,-60,20,50,66.25,200,55.91,43.94,1064.589966
8/18/10,56.08,-125,42.75,50,78.75,155,53.95,56.08,1071.689941
8/11/10,54.68,-125,30,60,90,200,70.17,54.68,1079.25
8/4/10,59.11,-125,28.75,60,100,200,58.52,59.11,1121.640015
7/28/10,50.21,-125,22,40,96,200,63.65,50.21,1101.599976
7/21/10,45.33,-125,17,40,65,200,55.5,45.33,1102.660034
7/14/10,49.85,-125,21.5,50,80,200,52.38,49.85,1064.880005
7/7/10,13.47,-200,0,25,50,100,60.79,13.47,1077.959961
6/30/10,36.05,-125,10,40,50,200,51.88,36.05,1022.580017
6/23/10,54.24,-125,25,50,85,200,59.38,54.24,1076.76001
6/16/10,30.42,-200,13.25,37.5,65.25,130,60.17,30.42,1117.51001
6/9/10,34.76,-125,8.5,30,61.25,200,50.57,34.76,1091.599976
6/2/10,27.05,-200,13.75,27.5,50,110,55.84,27.05,1064.880005
5/26/10,40.67,-50,15,27.5,53.75,200,45.44,40.67,1089.410034
5/19/10,40.38,-125,6,35,72.5,200,65.24,40.38,1087.689941
5/12/10,42.39,-200,20.75,52.5,85,160,67.42,42.39,1135.680054
5/5/10,67.89,-125,40,71,100,200,73.78,67.89,1110.880005
4/28/10,83.91,0,51,80,100,200,46.03,83.91,1186.689941
4/21/10,81.64,0,50,80,100,200,42.33,81.64,1217.280029
4/14/10,77.22,-100,52.25,90,100,150,45.15,77.22,1192.130005
4/7/10,85.91,-50,51,95,107.5,200,50.04,85.91,1194.369995
3/31/10,83.26,0,50.5,95,100,200,46.37,83.26,1178.099976
3/24/10,76.45,-125,50,80,100,200,57.76,76.45,1166.589966
3/17/10,77.3,-100,50,95,100,200,55.5,77.3,1159.900024
3/10/10,51.19,-200,35,70,100,150,68.95,51.19,1149.98999
3/3/10,54.89,-125,30,50,82.5,200,61.02,54.89,1138.699951
2/24/10,44.55,-125,18,50,80,200,61,44.55,1104.48999
2/17/10,36.51,-200,22.5,50,70,140,59.03,36.51,1109.170044
2/10/10,21.76,-200,0,30,58.75,160,68.82,21.76,1075.51001
2/3/10,33.18,-200,7.5,47,79,160,68.48,33.18,1097.28
1/27/10,61.91,-125,30,70,90,200,66.11,61.91,1097.5
1/20/10,63.83,-200,47.5,76.5,100,200,79.25,63.83,1138.04
1/13/10,72.97,-125,45,85,100,200,57.83,72.97,1145.68
1/6/10,70.65,-125,50,80,100,200,54.77,70.65,1137.14
12/30/09,74.56,-50,38.5,75,100,200,53.7,74.56,1126.42
12/23/09,61.08,-200,35,72.5,100,160,65.36,61.08,1120.59
12/16/09,75.57,-50,40,82,100,200,53.68,75.57,1109.18
12/9/09,68.74,-50,36,65,100,200,56.95,68.74,1095.95
12/2/09,82.19,10,50,77.5,100,200,49.33,82.19,1109.24
11/25/09,67.07,-100,35,68,100,200,56.69,67.07,1110.63
11/18/09,65.56,0,22.25,77.5,96.25,150,44.76,65.56,1109.8
11/11/09,69.21,-100,50,65,100,200,53.91,69.21,1098.51
11/4/09,64.94,-50,23.75,71.5,100,200,61.13,64.94,1046.5
10/28/09,74.68,-50,40,80,100,200,64.6,74.68,1042.63
10/21/09,77.83,-80,50,85,100,200,52.23,77.83,1081.4
10/14/09,74.38,-200,50,80,100,200,61.73,74.38,1092.02
10/7/09,67.86,-200,50,75,100,200,71.4,67.86,1057.58
9/30/09,86.41,20,50,77.5,98.75,200,49.48,86.41,1057.08
9/23/09,80.64,-50,50,77.5,100,200,53.32,80.64,1060.87
9/16/09,68,-200,50,75,97.5,200,63.59,68,1068.76
9/9/09,63.06,-200,40,70,100,200,63.36,63.06,1033.37
9/2/09,54.71,-200,25,50,95,200,81.41,54.71,994.75
8/26/09,55.21,-200,35,50,80,200,71.14,55.21,1028.12
8/19/09,31.22,-200,0,40,70,200,76.39,31.22,996.46
8/12/09,51.56,-50,19.25,50,72.5,200,54.17,51.56,1005.81
8/5/09,69,0,40,67.5,98.5,200,44.58,69,1002.72
7/29/09,37.41,-200,20,47.5,68.75,150,61.37,37.41,975.15
7/22/09,37.38,-200,0,45,73,140,57.65,37.38,954.07
7/15/09,22.61,-150,0,16,55,120,52.81,22.61,932.68
7/8/09,21.65,-200,0,20,60,200,64.16,21.65,879.56
7/1/09,35.67,-75,0,30,65,200,54.89,35.67,923.33
6/24/09,27.97,-200,0,38.5,65,200,66.26,27.97,900.94
6/17/09,49.92,-50,10.5,50,65,200,52.63,49.92,910.71
6/10/09,64.81,0,33.75,65,88.75,200,44.47,64.81,939.15
6/3/09,51.46,-200,30,53,85,200,65.16,51.46,931.76
5/27/09,40.34,-200,18,50,75,150,56.58,40.34,906.83
5/20/09,50.41,-50,15,50,80,200,45.67,50.41,903.47
5/13/09,56.82,-25,20,50,75,200,50.71,56.82,883.92
5/6/09,33.19,-200,5,40,57.5,200,67.14,33.19,919.53
4/29/09,35.76,-200,0,47,75,200,67.77,35.76,873.64
4/22/09,22.67,-200,0,29,50,120,65.51,22.67,843.55
4/15/09,41.61,-100,10.75,45,55.5,200,48.42,41.61,852.06
4/8/09,35.3,-200,5,38,50,200,59.14,35.3,825.16
4/1/09,18.85,-200,0,25,50,125,67.93,18.85,811.08
3/25/09,47.75,-50,15.75,50,60,200,49.16,47.75,813.88
3/18/09,9.97,-200,0,15,36.25,100,50.63,9.97,794.35
3/11/09,4.23,-200,0,5,17.5,100,51,4.23,721.36
3/4/09,2.15,-200,0,0,22.5,100,48.8,2.15,712.87
2/25/09,13.35,-200,0,15,37.25,100,46.38,13.35,764.9
2/18/09,25.97,-40,0,15,45,200,49.84,25.97,788.42
2/11/09,24.14,-50,0,10,45.5,200,42.69,24.14,833.74
2/4/09,17.8,-100,0,20,39,100,33.09,17.8,832.23
1/28/09,20.22,-200,0,25,50,100,49.01,20.22,874.09
1/21/09,19.67,-200,0,32,50,100,51.04,19.67,840.24
1/14/09,26.51,-200,0,33,50,200,64.58,26.51,842.62
1/7/09,29.09,-200,5,40,50,100,51.01,29.09,906.65
12/31/08,22.06,-200,0,16,51.25,155,55.14,22.06,903.25
12/24/08,24.41,-200,0,10,50,170,55.29,24.41,868.15
12/17/08,14.43,-200,0,10,50,140,53.49,14.43,904.42
12/10/08,3.68,-200,0,0,22.5,100,49.21,3.68,899.24
12/3/08,9.65,-80,0,0,25,200,45.36,9.65,870.74
11/26/08,9.67,-200,0,0,25,200,57.85,9.67,887.68
11/19/08,11.71,-100,0,0,20,200,43.98,11.71,806.58
11/12/08,15.06,-80,0,5,30,200,44.41,15.06,852.3
11/5/08,9.62,-200,0,2.5,38.75,100,49.89,9.62,952.77
10/29/08,10,-200,0,2.5,40,125,53.88,10,930.09
10/22/08,8.37,-200,0,2.5,32.25,100,44.13,8.37,896.78
10/15/08,18,-80,0,5,33.5,200,40.55,18,907.84
10/8/08,-2.97,-200,0,0,16.25,50,51.28,-2.97,984.94
10/1/08,16.27,-100,0,0,33,100,33.41,16.27,1161.06
9/24/08,19.11,-125,0,10.5,26.25,200,46.36,19.11,1185.87
9/17/08,16.09,-125,0,10,30,200,47.42,16.09,1156.39
9/10/08,28.32,-50,0,19.25,50,200,44.25,28.32,1232.04
9/3/08,29.92,-200,0,30,50,200,65.07,29.92,1274.98
8/27/08,30.03,-50,0,20,50,200,50.18,30.03,1281.66
8/21/08,39.76,-50,3.25,29,56,200,50.1,39.76,1277.72
8/13/08,33.27,-50,0,20,50,200,53.12,33.27,1285.83
8/6/08,18.3,-200,0,20,50,100,52.66,18.3,1289.19
7/30/08,12.56,-200,0,20,50,100,61.75,12.56,1284.26
7/23/08,13.81,-200,0,20,50,100,57.91,13.81,1282.19
7/16/08,10.22,-200,0,5,50,100,51.28,10.22,1245.36
7/9/08,2.03,-200,-40,0,45,200,75.85,2.03,1244.69
7/2/08,28.03,-50,0,24.5,52.5,200,52.72,28.03,1261.52
6/25/08,32,-50,0,25,63.5,200,55.26,32,1321.97
6/18/08,44.22,-160,7.5,40,86.25,200,65.08,44.22,1337.81
6/11/08,36.46,-200,0,30,85,200,78.83,36.46,1335.49
6/4/08,58.15,-125,30,50,100,200,65.79,58.15,1377.2
5/28/08,69.48,-125,40,70,100,200,66.21,69.48,1390.84
5/21/08,68.72,-125,35,75,100,200,65.7,68.72,1390.71
5/14/08,56.41,-200,25,70,100,200,68.46,56.41,1408.66
5/7/08,66.04,-15,50,80,97.5,125,37.8,66.04,1392.57
5/1/08,74.47,0,50,65,90,200,44.96,74.47,1364.71
4/23/08,59.27,0,25,50,89.5,200,41.97,59.27,1364.71
4/16/08,49.86,-200,25,50,80,200,56.32,49.86,1364.71
4/9/08,46.92,-125,30,50,80,200,69.47,46.92,1332.83
4/2/08,42.07,-180,10,35,81.25,200,72.95,42.07,1370.4
3/26/08,26.69,-200,0,34,50,200,69.09,26.69,1315.22
3/19/08,44,0,10,37.5,66.25,200,44.17,44,1329.51
3/12/08,45.28,-30,0,20,50,200,63.15,45.28,1288.14
3/5/08,38.34,-100,0,35,52.5,200,56.33,38.34,1293.37
2/27/08,13.96,-200,7.5,20,67.5,115,82.93,13.96,1330.63
2/20/08,33.67,-80,0,22.5,65,200,57.33,33.67,1353.11
2/13/08,15.33,-200,0,20,57.5,200,74.68,15.33,1349.99
2/6/08,30.89,-200,0,22.5,56.25,200,70.45,30.89,1331.29
1/30/08,25.63,-160,0,10,55,200,62.16,25.63,1395.42
1/23/08,39.91,-200,0,33.5,75,200,74.04,39.91,1330.61
1/16/08,12.92,-200,0,20,50,100,58.39,12.92,1325.19
1/9/08,41.45,-200,0,50,85,200,75.14,41.45,1401.02
1/2/08,83.55,0,50,70,100,200,55.23,83.55,1411.63
12/26/07,74.79,-50,47.5,80,100,200,50.5,74.79,1478.49
12/19/07,56.27,-200,22.5,52.5,97.5,200,71.47,56.27,1484.46
12/12/07,73.57,-200,50,87.5,100,200,69.02,73.57,1467.95
12/5/07,69.43,-90,40,72.5,90,200,60.54,69.43,1504.66
11/28/07,51.07,-200,25,57.5,92.5,200,68.93,51.07,1481.14
11/21/07,51.04,-70,18.75,46,66.25,200,60.49,51.04,1440.7
11/14/07,68.35,0,44,65,98.25,200,40.68,68.35,1458.74
11/7/07,84.44,-20,50,80,100,200,52.53,84.44,1453.7
10/31/07,65.69,-200,38.75,90,100,200,75.07,65.69,1509.65
10/24/07,69.14,-200,50,90,100,200,65.85,69.14,1535.28
10/17/07,86.46,-50,75,92.5,100,200,49.21,86.46,1500.63
10/10/07,66.43,-125,52.5,90,100,130,56.23,66.43,1561.8
10/3/07,75.49,-125,65,90,100,200,61.37,75.49,1557.59
9/26/07,77.36,0,60,75,93.75,200,38.19,77.36,1526.75
9/19/07,63.5,0,50,57.5,87.5,200,42.41,63.5,1525.75
9/12/07,46.55,-125,0,40,85,200,69.6,46.55,1484.25
9/5/07,39.63,-50,7.5,40,77.5,100,45.02,39.63,1453.55
8/29/07,-2.11,-200,-3.75,5,41.25,100,72.57,-2.11,1473.99
8/22/07,38.19,-15,0,22.5,50,200,52.7,38.19,1479.37
8/15/07,21.25,-100,0,5,33.75,200,57.03,21.25,1445.94
8/8/07,43.82,-50,0,31,70,200,65.1,43.82,1453.64
8/1/07,39,-125,0,36,52.5,200,59.66,39,1433.06
7/25/07,40.58,-125,0,50,85,200,63.77,40.58,1458.95
7/18/07,74.13,0,50,80,94.5,200,45.89,74.13,1534.1
7/11/07,62.39,-100,50,75,90,200,51.35,62.39,1530.44
7/5/07,56.06,-125,38.75,77.5,91.25,200,60.18,56.06,1552.5
6/27/07,74.23,-50,45,77,100,200,55.83,74.23,1503.35
6/20/07,61.47,-125,40,85,100,200,67.95,61.47,1502.56
6/13/07,53.04,-125,0,75,100,150,65.54,53.04,1532.91
6/6/07,57.63,-125,27,80,97.5,200,62.81,57.63,1507.67
5/30/07,80.55,-50,65,90,100,200,48.79,80.55,1536.34
5/23/07,82.5,-125,80.25,90,100,200,53.98,82.5,1515.73
5/16/07,87.38,-125,87.75,100,100,200,51.82,87.38,1522.75
5/9/07,73.83,-125,67.5,97.5,100,117,55.06,73.83,1505.85
5/2/07,82.67,-125,63.75,92,100,200,59.06,82.67,1505.62
4/25/07,75.42,-125,80,90,100,200,59,75.42,1494.07
4/18/07,54.14,-200,38,80,100,112,69.28,54.14,1484.35
4/11/07,59.32,-125,50,66,90,200,57.83,59.32,1452.85
4/4/07,45.65,-125,21,57.5,87.5,200,64.54,45.65,1443.76
3/28/07,44.54,-120,16,47.5,82.5,200,61.63,44.54,1420.86
3/21/07,47.7,-100,21.5,40,85,200,54.91,47.7,1436.11
3/14/07,38.05,-150,24,45,90,100,68.64,38.05,1386.95
3/7/07,52.4,-75,30,50,90,150,48.6,52.4,1402.84
2/28/07,89.33,-100,85,100,100,200,53.73,89.33,1387.17
2/21/07,73.68,-150,61.5,90,100,118,52.76,73.68,1451.19
2/14/07,79.09,-100,67.5,92.5,100,200,55.65,79.09,1455.54
2/7/07,82,-50,62.5,90,100,200,45.93,82,1438.06
1/31/07,80.75,-50,62.5,87.5,100,200,49.38,80.75,1448.39
1/24/07,72.59,-50,52.5,85,100,125,42.72,72.59,1422.18
1/17/07,84.89,0,68,100,100,112,27.9,84.89,1430.5
1/10/07,58.88,-150,50,81.5,100,125,65.21,58.88,1430.73
1/3/07,100.05,50,85,100,108,200,32.24,100.05,1409.71
12/27/06,85.17,-30,79,100,100,150,35.21,85.17,1418.3
12/20/06,92.91,50,83.5,100,100,150,22.35,92.91,1410.76
12/13/06,93,50,85,100,100,125,19.42,93,1427.09
12/6/06,74.73,-150,75.75,100,100,125,58.03,74.73,1409.84
11/29/06,86.67,-25,72.5,100,100,150,38.41,86.67,1396.71
11/22/06,92.43,50,80,100,100,150,20.82,92.43,1400.95
11/15/06,68.1,-150,56,89,100,150,61.3,68.1,1401.2
11/8/06,73.96,-50,53,90,100,150,46.65,73.96,1380.9
11/1/06,80.96,-100,68.75,90,100,200,53.86,80.96,1364.3
10/25/06,80.16,-100,70,90,100,200,53.12,80.16,1377.34
10/18/06,84.41,-20,77.5,95,100,150,33.22,84.41,1368.6
10/11/06,60.09,-125,50,82.5,100,120,59.83,60.09,1365.62
10/4/06,69.7,-100,50,88,100,175,59.4,69.7,1349.59
